Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
1,1912,2,5.1,"عمل القبعات السوداء :الاختراق من اجل  التخريب او السرقة لأهداف شخصية للمحترف او من دفع له ، اما القبعات البيضاء: الاختراق من اجل اكتشاف الثغرات و تصحيحها ا من أجل الفوز بمسابقات الاختراق.",4,4,5,5,4.5,4,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
14,1925,15,5.1,قراصنة القبعة السوداء يستطيعون اختراق الأنظمة و فهم كيفية عمل الكمبيوتر لكنهم يستغلون إمكانياتهم في أغراض شريرة قراصنة القبعة البيضاء لديهم نفس الإمكانيات لكنهم يستغلونها في حماية الأنظمة و التبليغ عن الثغرات و حماية الخصوصية ...,5,5,5,5,5,5,5,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
20,1931,21,5.1,كلاهما له القدرة على اختراق الأجهزة الالكترونية لكن القبعات البيضاء تسعى إلى تصليح النظام و يتم توظيفها للكشف عن الثغرات و غلقها أما القبعات السوداء عكس ذلك سرق و خرب المعلومات.,4.5,5,3.5,4,4,4,4,4,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
52,1963,5,5.2,القبعة السوداء هم اللذين يشغلون ذكائهم لإيذاء الأخرين وسرقة معلوماتهم السرية أما القبعة الرمادية تستغل نظام الكومبيوتر كما تقوم بها القبعة السوداء لكن بدون اي نية خبيثة مع ذلك يعتبر كل اختراق نظام آمن أمر غير قانوني.,2.5,3,3,3,2.75,3,2,3,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
71,1982,24,5.2,القبعة السوداء و القبعة الرمادية يرتكبون الجريمة في إطار غير قانوني و غير أخلاقي لكن القبعة السوداء شريرة في عملها فقد تتلف النظام و تسرق المعلومات أما القبعة الرمادية فتخبر المؤسسة بتصحيح الخطأ بعد الإختراق,3.5,4,3.5,4,3.5,4,3,4,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
74,1985,27,5.2,قراصنة القبعة الرمادية يقوم بالإختراق بدون إذن لكن لن يفسدو في تلك المعلومات و يغيرون ذلك أما القبعة السوداء يقوم بالإختراق و إفساد كل المعلومات,3,3,2.5,3,2.75,3,2,3,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
87,1998,3,5.3,هو أن الدود لما يتم تشغيل البرنامج التي تكون فيه فتقوم بتخريب النظام الجهاز ,0,0,0,0,0,0,0,0,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
92,2003,8,5.3,الدود لا يقترن ببرنامج آخرلكي ينتج نفسه بينما الفيروس يستنجد ببرنامج آخر موجود .,2.5,3,2,2,2.25,2,2,3,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
99,2010,15,5.3,"الفيروسات برامج ضارة هدفها التخريب و تتكاثر تخرب المعلومات و تعدلها و تحذفها ، هدفها التدمير .أما الدود : فتأتي بشكل برنامج جيد مختبأ داخله و تقوم بعملها الماكر بدون شعور المستخدم  ",0,0,3,3,1.5,1,1,2,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
102,2013,18,5.3,"الدود يعمل بنفسه عندما يجد ثغرة ، يهاجم النظام المعلوماتي مباشرة أما الفيروسات فهي موجودة مع برنامج آخر ، عندما نفتح ذلك البرنامج تبدأ عملية الفيروس بالتضاعف و الإنتشار و هجم النظام المعلوماتي .",5,5,3,3,4,4,4,4,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
