Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
60,1971,13,5.2,"قراصنة القبعة السوداء وكتابة البرامج لكي يقومون بسرقة المعلومات وتغيير البيانات، قراصنة القبعات الرمادية يستخدمون برامج للدخول الى المواقع الممنوعة كمواقع الجنس.",2.5,3,2.5,3,2.5,3,2,3,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
68,1979,21,5.2,"يكون عمل قراصنة القبعة الرمادية يقومون بإختراق بدون إذن لكن ليس لأغراض شخصية فيقومون بنشر ثغرات ، أما القبعات السوداء يقوم بالإختراق لأغراض شخصية فيقومون بتغيير و تخريب البيانات",3,3,2.5,3,2.75,3,2,3,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
82,1993,35,5.2,قراصنة القبعات السوداء هم اشخاص موهوبون يستعملون موهبتهم بطريقة شريرة بحيث يخترقون النظام لسرقة المعلومات لكن قرصنة القبعات الرمادية لا يستخدمون دكاءهم لأغراض شخصية لكن يقومون بجرائم فنية بدون ادن او ترخيص,4.5,5,4,4,4.25,4,4,5,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
66,1977,19,5.2,كلا منهما يملكان قدرات و مواهب في كتابة و تصميم برامج و قدرة فهم كيفية عمل الحاسب و لكن فرق هو هو ان قبعات سوداء يسخرون ذكائهم لتخريب و إتلاف اما قبعات الرمادية فيقومون فقط بنشر ثغارات علنا,4,4,2.5,3,3.25,3,3,4,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
55,1966,8,5.2,يقوم القبعات السوداء بالجرائم لغاية اِلحاق الضرر والسوء أما القبعات الرمادية فيقومون بقرصنة موقع اِلكتروني مثلا وغايتهم ليس اِلحاق الضرر ولكنهم سيساهمون في ذلك لأنهم يتيحون الفرصة للقبعات السوداء باستعمال تلك المعلومات لإرتكاب جريمة خطيرة.,4.5,5,4,4,4.25,4,4,5,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
67,1978,20,5.2,قراصنة القبعة الرمادية يقومون بنشر و فضح الخلل الذي وجدوه في نظام ما مما يؤدي عامة إلى جلب نظر قراصنة القبعة السوداء. أما قراصنة القبعة السوداء هدفها التخريب و الإستلاء على الأموال و سرقة المعلومات إلخ,4,4,3.5,4,3.75,4,3,4,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
69,1980,22,5.2,قراصنة القبعة السوداء يخترقون الأجهزة الإلكترونية لأسباب غير أخلاقية أو للحصول على مكاسب مادية بطرق غير قانونية. أما قراصنة القبعة الرمادية يعملون على إكتشاف الثغرات بدون إذن و لكن ليس من أجل التخريب بل يعرضون إصلاح الثغرات الأمنية مقابل دخل مادي ,4,4,3.5,4,3.75,4,3,4,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
79,1990,32,5.2,قراصنة القبعات السوداء يقومون باختراق النظام لأغراض سيئة و حسب حاجيته الشخصية اما قراصنة القبعات الرمادية فهي تقوم باختراق الانظمة بهدف اكتشاف الثغرات و طرح اصلاحه على المنظمة المخترقة,4.5,5,4,4,4.25,4,4,5,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
84,1995,37,5.2,قراصنة القبعة الرمادية يساهمون في  مساعدة القبعات السوداء عندما ينشرون الثغرات الموجودة على الانترنت اما قراصنة القبعات السوداء اهدافهم شريرة و يخترقون من اجل الحصول على مصالح شخصية,5,5,5,5,5,5,5,5,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
73,1984,26,5.2,"قراصنة القبعات الرمادية: يقومون بإختراق المؤسسات و إظهار الثغرات للجميع مما يؤدي إلى تعرض هذه الشركات لثغرات قبل إصلاحها وبدون فوائد شخصية للقبعات الرمادية بطريقة غير قانونية ، أما القبعات السوداء فتقوم يإختراق البرامج و الشركات لكسب الأموال و تهديد و  هم مجرمون",3.5,4,4,4,3.75,4,3,4,2,5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟,الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة
